Company,Symbol,Movement1,Cluster,Movement
Apple Inc,AAPL,9.950027466,2,9.950027466
Amgen Inc,AMGN,36.42521667,1,36.42521667
American Express Co,AXP,34.62727356,0,34.62727356
Boeing Co,BA,-333.5151901,2,0.1
Caterpillar Inc,CAT,23.55522156,2,23.55522156
Salesforce.Com Inc,CRM,16.98496628,0,16.98496628
Cisco Systems Inc,CSCO,-28.73995972,2,0.1
Chevron Corp,CVX,71.36013794,2,71.36013794
Walt Disney Co,DIS,111.8495178,0,111.8495178
Dow Inc,DOW,15.28987885,2,15.28987885
Goldman Sachs Group Inc,GS,-10.82000732,1,0.1
Home Depot Inc,HD,6.110050201,0,6.110050201
Honeywell International Inc,HON,1.090042114,1,1.090042114
International Business Machines Corp,IBM,-19.36000824,1,0.1
Intel Corp,INTC,5.179840088,2,5.179840088
Johnson & Johnson,JNJ,4.46522522,0,4.46522522
JPMorgan Chase & Co,JPM,-32.70765686,1,0.1
Coca-Cola Co,KO,104.3699951,0,104.3699951
McDonaldâ€™s Corp,MCD,-2.829929352,0,0.1
Merck & Co Inc,MRK,35.42996216,1,35.42996216
Microsoft Corp,MSFT,21.79995728,2,21.79995728
Nike Inc,NKE,121.0201263,1,121.0201263
Procter & Gamble Co,PG,1.440010071,0,1.440010071
Travelers Companies Inc,TRV,0.179924011,1,0.179924011
UnitedHealth Group Inc,UNH,-35.51005554,0,0.1
Visa Inc,V,-11.06003571,1,0.1
Verizon Communications Inc,VZ,12.48001099,1,12.48001099
Walgreens Boots Alliance Inc,WBA,-48.47171021,2,0.1
Walmart Inc,WMT,-14.75997543,2,0.1
